Company,Rating,Reviews,Industry,Location,Type,HQ,Age,Employees,Highly_Rated,Critically_Rated,Page
Vodafone Idea,,(18k),Telecom,Pune +722 other locations,,,,,"Company Culture, Work Life Balance, Salary",Promotions,2
Bharti Airtel,,(17.6k),Telecom,Gurugram +811 other locations,,,,,Promotions,,2
BYJU'S,,(16.4k),EdTech,Bengaluru +323 other locations,,,,,"Job Security, Company Culture, Work Life Balance",,2
WNS,,(15.8k),IT Services & Consulting,Pune +69 other locations,,,,,"Promotions, Salary, Work Satisfaction",,2
IDFC FIRST Bank,,(15.7k),Banking,Mumbai +757 other locations,,,,,"Salary, Skill Development, Company Culture",,2
Ernst & Young,,(15.2k),Management Consulting,Bengaluru +146 other locations,,,,,"Promotions, Work Life Balance, Work Satisfaction",,2
IndusInd Bank,,(14.8k),Banking,Mumbai +817 other locations,,,,,"Promotions, Company Culture, Work Satisfaction",,2
AU Small Finance Bank,,(14.7k),Banking,Jaipur +823 other locations,,,,,,,2
Tata Motors,,(14.6k),Automobile,Pune +521 other locations,,,,,"Job Security, Company Culture, Work Life Balance",Promotions,2
Bajaj Finserv,,(13.8k),NBFC,Pune +1246 other locations,,,,,"Salary, Skill Development, Job Security",,2
Flipkart,,(13.5k),Internet,Bengaluru +573 other locations,,,,,"Company Culture, Skill Development, Salary",Promotions,2
Muthoot FinCorp,,(13.5k),NBFC,Bengaluru +1136 other locations,,,,,"Company Culture, Work Life Balance, Job Security",,2
PwC,,(13.3k),Management Consulting,Bengaluru +150 other locations,,,,,"Promotions, Work Life Balance, Work Satisfaction",,2
Mahindra & Mahindra,,(12.6k),Automobile,Pune +582 other locations,,,,,"Job Security, Skill Development, Company Culture",Promotions,2
HDFC Life,,(12.5k),Insurance,Mumbai +731 other locations,,,,,Skill Development,Promotions,2
Infosys BPM,,(12.5k),BPO,Bengaluru +97 other locations,,,,,Job Security,"Promotions, Salary, Work Satisfaction",3
DXC Technology,,(12.3k),IT Services & Consulting,Bengaluru +133 other locations,,,,,Work Life Balance,"Promotions, Salary, Work Satisfaction",3
